,index,comment,n_star,date_time,label,segmented_comment
2917,2917,Ngoài vấn_đề pin hơi yếu thì bù lại mọi thứ đều ok hết từ ngoại_hình đến nội_thất ,4,26/07/2020,{BATTERY#Negative};{PERFORMANCE#Positive};{DESIGN#Positive};{GENERAL#Positive};,Ngoài vấn_đề pin hơi yếu thì bù lại mọi thứ đều ok hết từ ngoại_hình đến nội_thất 
2918,2918,Mới mua con này đc 2 ngày . K biết mọi ng thấy sao chứ m thấy rất ok .,5,23/02/2020,{GENERAL#Positive};{OTHERS};,Mới mua con này đc 2 ngày . K biết mọi ng thấy sao chứ m thấy rất ok .
2919,2919,"Máy này dùng chip 665 mà chơi Pubg thua cả các loại máy dùng chip 660 , màn_hình thì chỉ được HD , pin 5000 mà như 3000 ... nói_chung máy này rất tệ , tốt nhất k nên mua",1,3 tuần trước,{SCREEN#Negative};{BATTERY#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};,"Máy này dùng chip 665 mà chơi Pubg thua cả các loại máy dùng chip 660 , màn_hình thì chỉ được HD , pin 5000 mà như 3000 ... nói_chung máy này rất tệ , tốt nhất k nên mua"
2920,2920,Sau 2 tháng sử_dụng . Thì cũng ok . Tuy_nhiên là sạc nhanh lại không nhanh . Từ 10% pin mà tận hơn 2 tiếng mới đầy,3,1 tuần trước,{BATTERY#Negative};{GENERAL#Positive};{OTHERS};,Sau 2 tháng sử_dụng . Thì cũng ok . Tuy_nhiên là sạc nhanh lại không nhanh . Từ 10% pin mà tận hơn 2 tiếng mới đầy
2921,2921,Xin hỗ_trợ kỹ thuật.máy xài rất tốt.nhưng không hiểu sao.chân rắc 3.5 ( tai nghe ) không sử_dụng được dây naitrim ( dây thu âm ) dùng để hát naitrim trên Facebook và các mạng xã_hội khác .... cám vào tiếng sôi và hú.đảm bảo dây naitrim hoạt_động bình_thường . Xin được phản_hồi,4,2/7/2020,{FEATURES#Negative};{GENERAL#Positive};,Xin hỗ_trợ kỹ thuật.máy xài rất tốt.nhưng không hiểu sao.chân rắc 3.5 ( tai nghe ) không sử_dụng được dây naitrim ( dây thu âm ) dùng để hát naitrim trên Facebook và các mạng xã_hội khác .... cám vào tiếng sôi và hú.đảm bảo dây naitrim hoạt_động bình_thường . Xin được phản_hồi
2922,2922,Máy mua về sử_dụng hơn 2 tuần thì thấy mọi thứ đều ổn chỉ có cái tệ nhất_là vào game liên_quân mobile thì phải mắc chờ đến hơn 5 phút mới vào được game ! Có ai chơi liên_quân mà bị giống mình không !,4,1/8/2019,{PERFORMANCE#Negative};{GENERAL#Positive};,Máy mua về sử_dụng hơn 2 tuần thì thấy mọi thứ đều ổn chỉ có cái tệ nhất_là vào game liên_quân mobile thì phải mắc chờ đến hơn 5 phút mới vào được game ! Có ai chơi liên_quân mà bị giống mình không !
2923,2923,Mọi thứ thấy . Cũng OK . Nhưng sao mình sạc pin nó chỉ lên 99% rồi dừng lại mà ko lên đc 100%,4,14/04/2020,{BATTERY#Negative};{GENERAL#Positive};,Mọi thứ thấy . Cũng OK . Nhưng sao mình sạc pin nó chỉ lên 99% rồi dừng lại mà ko lên đc 100%
2924,2924,"cho mình hỏi , mình mới mua cái xiaomi nute 8pr 36 ngày , muốn đổi lại cái xiaomi redmi 9 bù khoản bao_nhiêu , cho mình hỏi thêm là xiaomi redmi 9 có sim kép không , vì mình đang xài cái 8pr bắt wifi kém sống yếu quá ko chơi game dc , máy bạn cũng biết rồi đó đánh liên_quân mà cứ bị mạng lag ức_chế lắm , mong quản_trị_viên tư_vấn .",5,22/07/2020,{FEATURES#Negative};{SER&ACC#Neutral};,"cho mình hỏi , mình mới mua cái xiaomi nute 8pr 36 ngày , muốn đổi lại cái xiaomi redmi 9 bù khoản bao_nhiêu , cho mình hỏi thêm là xiaomi redmi 9 có sim kép không , vì mình đang xài cái 8pr bắt wifi kém sống yếu quá ko chơi game dc , máy bạn cũng biết rồi đó đánh liên_quân mà cứ bị mạng lag ức_chế lắm , mong quản_trị_viên tư_vấn ."
2925,2925,Dùng quá phê trong tầm giá pin trâu tác_vụ mượt_mà giá chấp_nhận được mọi người So với các sản_phẩm khác,5,12/1/2020,{BATTERY#Positive};{PRICE#Neutral};{GENERAL#Positive};{OTHERS};,Dùng quá phê trong tầm giá pin trâu tác_vụ mượt_mà giá chấp_nhận được mọi người So với các sản_phẩm khác
2926,2926,Điện_thoại dùng mượt nhưng sim nhận không đều lúc nhận lúc không và cũng phát_sinh nhiều vấn_đề khác,3,14/03/2020,{FEATURES#Negative};{PERFORMANCE#Positive};,Điện_thoại dùng mượt nhưng sim nhận không đều lúc nhận lúc không và cũng phát_sinh nhiều vấn_đề khác
2927,2927,đã mua ở điện_máy xanh.nhân viên nhiệt_tình phục_vụ chu đáo.lần đầu sài iphone cảm_giác sướng camera tạp đc.đang dần làm_quen với ios . hôm_nay là 15 ngày chưa thấy lỗi gì cả . còn 15 ngày nữa theo_dõi máy như_thế_nào . con_tính tiếp.hơn 25 triệu ôi cái giá phải trả . cảm_ơn dienmayxanh đã mang lại cảm_giác mua sắp thoả mái thân_thiện vui_vẻ .,5,19/09/2017,{CAMERA#Positive};{PRICE#Negative};{GENERAL#Positive};{SER&ACC#Positive};,đã mua ở điện_máy xanh.nhân viên nhiệt_tình phục_vụ chu đáo.lần đầu sài iphone cảm_giác sướng camera tạp đc.đang dần làm_quen với ios . hôm_nay là 15 ngày chưa thấy lỗi gì cả . còn 15 ngày nữa theo_dõi máy như_thế_nào . con_tính tiếp.hơn 25 triệu ôi cái giá phải trả . cảm_ơn dienmayxanh đã mang lại cảm_giác mua sắp thoả mái thân_thiện vui_vẻ .
2928,2928,Nội chúng điểm yếu là sai mang 4g đến yuotube lát trời gem thì OK mới mua hôm_qua nhân_viên điện_máy xanh nhiệt_tình,5,2/11/2019,{FEATURES#Negative};{PERFORMANCE#Positive};{SER&ACC#Positive};,Nội chúng điểm yếu là sai mang 4g đến yuotube lát trời gem thì OK mới mua hôm_qua nhân_viên điện_máy xanh nhiệt_tình
2929,2929,Khá hài_lòng đã sử_dụng đc 1 năm hơn chỉ có đều hao pin và nóng khi xài cam vs game và sạc lâu mình xài pin còn 85%,5,30/04/2020,{CAMERA#Negative};{BATTERY#Negative};{PERFORMANCE#Negative};{OTHERS};,Khá hài_lòng đã sử_dụng đc 1 năm hơn chỉ có đều hao pin và nóng khi xài cam vs game và sạc lâu mình xài pin còn 85%
2930,2930,Tư_vấn bán hàng ok.nhưng dịch_vụ liên_kết kém.các bạn nên linh_hoạt dịch_vụ trả sau,1,30/04/2020,{SER&ACC#Neutral};,Tư_vấn bán hàng ok.nhưng dịch_vụ liên_kết kém.các bạn nên linh_hoạt dịch_vụ trả sau
2931,2931,Lên bảng anroi 10 sài bao mượt bao nhẹ không nóng máy nha ae .. nâng_cấp camera ngon hơn bảng 9,4,11/6/2020,{CAMERA#Positive};{PERFORMANCE#Positive};,Lên bảng anroi 10 sài bao mượt bao nhẹ không nóng máy nha ae .. nâng_cấp camera ngon hơn bảng 9
2932,2932,"Máy tự khởi_động lại , vân tay chạm nóng_hổi , nhiều khi máy bị đơ mở khoá không được .",1,9/3/2020,{FEATURES#Negative};{PERFORMANCE#Negative};,"Máy tự khởi_động lại , vân tay chạm nóng_hổi , nhiều khi máy bị đơ mở khoá không được ."
2933,2933,Bắt mạng quá kém loa dè nhưng bù lại cấu_hình ngon trong tầm giá cam đẹp có vân tay có sạc nhanh,2,17/04/2020,{CAMERA#Positive};{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};,Bắt mạng quá kém loa dè nhưng bù lại cấu_hình ngon trong tầm giá cam đẹp có vân tay có sạc nhanh
2934,2934,"Quá đỉnh , quá tuyệt_vời , chụp hình super đẹp , nhất_là ban_đêm , mọi tác_vụ quá êm . Quá hài_lòng",5,4/12/2019,{CAMERA#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,"Quá đỉnh , quá tuyệt_vời , chụp hình super đẹp , nhất_là ban_đêm , mọi tác_vụ quá êm . Quá hài_lòng"
2935,2935,Mới mua gần 1 tháng sài nó nhảy tùm_lum đan trong game tự_nhiên nhảy qua google vô game bài 888 xong chút xúi nữa cái chuyển qua máy bị virus,2,19/05/2020,{PERFORMANCE#Negative};{OTHERS};,Mới mua gần 1 tháng sài nó nhảy tùm_lum đan trong game tự_nhiên nhảy qua google vô game bài 888 xong chút xúi nữa cái chuyển qua máy bị virus
2936,2936,"Hàng chính hãng nên hoàn_toàn yên_tâm sử_dụng , chính_sách bảo_hành và chăm_sóc khách_hàng tốt",5,6/11/2018,{SER&ACC#Positive};,"Hàng chính hãng nên hoàn_toàn yên_tâm sử_dụng , chính_sách bảo_hành và chăm_sóc khách_hàng tốt"
2937,2937,"Máy mượt , pin trâu nhưng khi xem phim hay chơi game hay lên mạng xem cái gì đó . Là nó cứ nhảy qua trang google nói cập_nhật cái gì đó miếc luôn . Xoá rồi lại hiện . Có rồi lại hiên . Rất bực_mình và khó_chịu . Đôi_khi muốn đập luôn cái điện_thoại . Nãn vô_cùng",2,18/02/2020,{BATTERY#Positive};{PERFORMANCE#Neutral};{GENERAL#Negative};,"Máy mượt , pin trâu nhưng khi xem phim hay chơi game hay lên mạng xem cái gì đó . Là nó cứ nhảy qua trang google nói cập_nhật cái gì đó miếc luôn . Xoá rồi lại hiện . Có rồi lại hiên . Rất bực_mình và khó_chịu . Đôi_khi muốn đập luôn cái điện_thoại . Nãn vô_cùng"
2938,2938,"E mua cùng gần 2 tuần máy rất ok , pin trâu làm em sạc 1 lần 100% xài 2 ngày mà xài xuyên suốt , thik nhất_là kg nóng máy , để máy sáng đem pin chỉ 2% thời . Mới thứ đeu tốt hết.Tuy nhiên chỉ có âm_thanh thì nhỏ .",5,4/3/2020,{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,"E mua cùng gần 2 tuần máy rất ok , pin trâu làm em sạc 1 lần 100% xài 2 ngày mà xài xuyên suốt , thik nhất_là kg nóng máy , để máy sáng đem pin chỉ 2% thời . Mới thứ đeu tốt hết.Tuy nhiên chỉ có âm_thanh thì nhỏ ."
2939,2939,Sản_phẩm bị nhúng game lừa_đảo trừ tiền sim di_động qua hình_thức gửi SMS tự_động .,1,14/09/2019,{OTHERS};,Sản_phẩm bị nhúng game lừa_đảo trừ tiền sim di_động qua hình_thức gửi SMS tự_động .
2940,2940,Camera hơi kém.pin tạm ổn . lâu_lâu loạn cảm_ứng nhảy bậy nhưng nói_chung với giá này thì ổn ạ,5,3 tuần trước,{CAMERA#Negative};{FEATURES#Negative};{BATTERY#Neutral};{PRICE#Neutral};{GENERAL#Positive};,Camera hơi kém.pin tạm ổn . lâu_lâu loạn cảm_ứng nhảy bậy nhưng nói_chung với giá này thì ổn ạ
2941,2941,Máy dùng ổn . Game mượt . Thấy các anh_chị khác cứ kêu chơi game giật lag chứ em chơi pubg thấy OK mà . Buồn mỗi cái là hôm t2 mua 5990k mà nay đã giảm xuống 5790k r huhu ,5,7/8/2020,{PERFORMANCE#Positive};{PRICE#Negative};{GENERAL#Positive};,Máy dùng ổn . Game mượt . Thấy các anh_chị khác cứ kêu chơi game giật lag chứ em chơi pubg thấy OK mà . Buồn mỗi cái là hôm t2 mua 5990k mà nay đã giảm xuống 5790k r huhu 
2942,2942,Đánh_giá Màn_hình rõ nét chân_thật Camera ngon_lành rõ nét Chíp mượt_mà tất_cả các tác_vụ Pin trâu Loa siêu to Tổng_kết  điểm,5,1 tuần trước,{SCREEN#Positive};{CAMERA#Positive};{FEATURES#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,Đánh_giá Màn_hình rõ nét chân_thật Camera ngon_lành rõ nét Chíp mượt_mà tất_cả các tác_vụ Pin trâu Loa siêu to Tổng_kết  điểm
2943,2943,Máy dùng tôt sóng manh pin bền ánh_sáng màn_hình hoi tôi loa rõ hoi khó cầm thân máy chác chan giá re thuong hieu tot đánh_giá 5 sao,5,18/02/2020,{SCREEN#Negative};{FEATURES#Positive};{BATTERY#Positive};{DESIGN#Negative};{PRICE#Positive};{GENERAL#Positive};{SER&ACC#Positive};,Máy dùng tôt sóng manh pin bền ánh_sáng màn_hình hoi tôi loa rõ hoi khó cầm thân máy chác chan giá re thuong hieu tot đánh_giá 5 sao
2944,2944,"Cảm_ứng bàn_phím lúc chat không mượt , chat thường_xuyên bị lỗi từ_ngữ , pin chỉ 4k3 chứ không phải 5k như quảng_cáo . Mới mua một tuần máy lỗi lướt wep xíu bị đứng màn_hình . ! !",3,17/06/2020,{FEATURES#Negative};{BATTERY#Negative};{PERFORMANCE#Negative};,"Cảm_ứng bàn_phím lúc chat không mượt , chat thường_xuyên bị lỗi từ_ngữ , pin chỉ 4k3 chứ không phải 5k như quảng_cáo . Mới mua một tuần máy lỗi lướt wep xíu bị đứng màn_hình . ! !"
2945,2945,Sản_phẩm tuyệt_vời .,5,9/11/2019,{GENERAL#Positive};,Sản_phẩm tuyệt_vời .
2946,2946,Hàng nguyên box . Chỉ tiếc k được cảm_giác khui hộp vì nhân_viên khui hộ . Mình mua bản màu đen,4,19/02/2020,{SER&ACC#Neutral};{OTHERS};,Hàng nguyên box . Chỉ tiếc k được cảm_giác khui hộp vì nhân_viên khui hộ . Mình mua bản màu đen
2947,2947,"Đã dùng được một tuần : mình có đánh_giá như sau : Máy đẹp , pin khoẻ , camera cơ_bản ok , nhân_viên phục_vụ nhiệt_tình tận nơi , các bạn còn trần trừ gì mà không nhấc ,",5,15/04/2020,{CAMERA#Positive};{BATTERY#Positive};{DESIGN#Positive};{SER&ACC#Positive};{OTHERS};,"Đã dùng được một tuần : mình có đánh_giá như sau : Máy đẹp , pin khoẻ , camera cơ_bản ok , nhân_viên phục_vụ nhiệt_tình tận nơi , các bạn còn trần trừ gì mà không nhấc ,"
2948,2948,Mk chơi game sao bấm mấy cái phím nhỏ nó ko ăn ? Mà cảm_ứng là cảm_ứng_lực đúng ko mn ? Tại mk dùng mấy đồ_vật khác chạm vào màn_hình nó cũng nhận ! Ko phải cảm_ứng từ or nhiệt thì phải !,3,5/8/2020,{FEATURES#Negative};,Mk chơi game sao bấm mấy cái phím nhỏ nó ko ăn ? Mà cảm_ứng là cảm_ứng_lực đúng ko mn ? Tại mk dùng mấy đồ_vật khác chạm vào màn_hình nó cũng nhận ! Ko phải cảm_ứng từ or nhiệt thì phải !
2949,2949,Đang dùng IP xsm bữa_nay bán đi mua Oppo A92 vẫn thừa 5tr rưỡi đi chơi haha mà dùng cảm_thấy cũng OK đấy chứ ! Kết nhất cái pin dùng rất là trâu và loa nghe cũng rất OK nhé nói_chung giá đó là hợp_lý,5,1 tuần trước,{FEATURES#Positive};{BATTERY#Positive};{PRICE#Positive};{GENERAL#Positive};{OTHERS};,Đang dùng IP xsm bữa_nay bán đi mua Oppo A92 vẫn thừa 5tr rưỡi đi chơi haha mà dùng cảm_thấy cũng OK đấy chứ ! Kết nhất cái pin dùng rất là trâu và loa nghe cũng rất OK nhé nói_chung giá đó là hợp_lý
2950,2950,"1 sp khá tốt trong tầm giá . Con chip này nếu so thì tầm con snap 665 khoảng giá 5-6 tr . Chiến game mượt , Fps ổn_định .. 2 điều khiến tôi k hài_lòng . 1 xoay màn_hình gõ bàn_phím thì gần_gần sát mép viền dưới cảm_ứng nó k ăn . 2 là màn_hình hơi bị tối khi ra ngoài_trời . Còn về cam thì tôi k đòi_hỏi gì nhieuf ở sp dưới 3tr này . Nói_chung nếu fix lại lổi cảm_ứng ở 2 mép màn_hình thì quá tuyệt_vời sp này ..",5,28/03/2020,{SCREEN#Negative};{CAMERA#Neutral};{FEATURES#Negative};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};,"1 sp khá tốt trong tầm giá . Con chip này nếu so thì tầm con snap 665 khoảng giá 5-6 tr . Chiến game mượt , Fps ổn_định .. 2 điều khiến tôi k hài_lòng . 1 xoay màn_hình gõ bàn_phím thì gần_gần sát mép viền dưới cảm_ứng nó k ăn . 2 là màn_hình hơi bị tối khi ra ngoài_trời . Còn về cam thì tôi k đòi_hỏi gì nhieuf ở sp dưới 3tr này . Nói_chung nếu fix lại lổi cảm_ứng ở 2 mép màn_hình thì quá tuyệt_vời sp này .."
2951,2951,"Đang xài tự_nhiên màn_hình đơ , tối thui , phải tắt máy mở lại thì nó mới trở_lại bình_thường . Chưa thử chụp hình nhiều nhưng máy tụt pin nhanh kinh_khủng . Cảm_nhận cá_nhân A51 thua J7 prime",3,8/1/2020,{BATTERY#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};,"Đang xài tự_nhiên màn_hình đơ , tối thui , phải tắt máy mở lại thì nó mới trở_lại bình_thường . Chưa thử chụp hình nhiều nhưng máy tụt pin nhanh kinh_khủng . Cảm_nhận cá_nhân A51 thua J7 prime"
2952,2952,Máy lỗi đã đổi máy mới nhưng không biết phải mới hay không mà danh_bạ đã có lưu 2 số của ai mình còn không biết,1,6/1/2020,{GENERAL#Negative};{OTHERS};,Máy lỗi đã đổi máy mới nhưng không biết phải mới hay không mà danh_bạ đã có lưu 2 số của ai mình còn không biết
2953,2953,"1 * cũng k xứng , máy cực_kì tệ , mới mua về 1 2 ngày thì còn tạm đc . Rồi cứ sau mỗi lần cập_nhật là 1 lần xuống_cấp , càng cập_nhật càng tệ , mọi thứ đều tệ . Mua đi rồi sẽ hối_hận .",1,21/05/2020,{GENERAL#Negative};{OTHERS};,"1 * cũng k xứng , máy cực_kì tệ , mới mua về 1 2 ngày thì còn tạm đc . Rồi cứ sau mỗi lần cập_nhật là 1 lần xuống_cấp , càng cập_nhật càng tệ , mọi thứ đều tệ . Mua đi rồi sẽ hối_hận ."
2954,2954,Mua từ ngày vừa ra..mua chủ íu để chơi liên_quân .. 2 tháng đầu rất mược . Nhưng chẳn hỉu sao từ tết tới h lại có dấu_hiệu lảng mạnh .. lúc đầu thì chơi game thì máy tự khỏi động lại .. còn h thì lước facebook kung bị khỏi động lại .. 7tr 799k của mình không đáng tí nào .. mong ad duyệt,1,3/3/2020,{PERFORMANCE#Neutral};{PRICE#Negative};{OTHERS};,Mua từ ngày vừa ra..mua chủ íu để chơi liên_quân .. 2 tháng đầu rất mược . Nhưng chẳn hỉu sao từ tết tới h lại có dấu_hiệu lảng mạnh .. lúc đầu thì chơi game thì máy tự khỏi động lại .. còn h thì lước facebook kung bị khỏi động lại .. 7tr 799k của mình không đáng tí nào .. mong ad duyệt
2955,2955,Nói_chung là thiết_kế đẹp pin ổn mk mua được 12 ngày đang dùng không và chạm không ngâm nước đang dùng màn_hình bị sọc xog là đi luôn rồi haiz nghĩ hàng Việt_Nam nó chán,1,5/8/2020,{SCREEN#Negative};{BATTERY#Positive};{DESIGN#Positive};{SER&ACC#Negative};,Nói_chung là thiết_kế đẹp pin ổn mk mua được 12 ngày đang dùng không và chạm không ngâm nước đang dùng màn_hình bị sọc xog là đi luôn rồi haiz nghĩ hàng Việt_Nam nó chán
2956,2956,"Đã mua và trải_nghiệm , nhận thấy sản_phẩm tốt trong tầm giá , tuy_nhiên không hài_lòng ở cụm camera sau , nhìn khá thô , nhô khá cao so với mặt lưng , rất dễ bị trầy_xước ở bề_mặt kính camera",4,17/05/2020,{DESIGN#Negative};{GENERAL#Positive};{OTHERS};,"Đã mua và trải_nghiệm , nhận thấy sản_phẩm tốt trong tầm giá , tuy_nhiên không hài_lòng ở cụm camera sau , nhìn khá thô , nhô khá cao so với mặt lưng , rất dễ bị trầy_xước ở bề_mặt kính camera"
2957,2957,Xoay mang hình nó bị ám thành rừng tắt cho nào vậy mấy anh nhận viên Cứ bị xoay nó rung ức_chế,5,8/6/2020,{FEATURES#Negative};,Xoay mang hình nó bị ám thành rừng tắt cho nào vậy mấy anh nhận viên Cứ bị xoay nó rung ức_chế
2958,2958,"Mình mới mua hôm 30/9/2017 máy sử_dụng rất mượt , chơi game đồ_hoạ cao với chip A10 Cực tốt , không lag hay giật . Camera kép chụp ảnh đẹp và loa kép nghe nhạc rất chất nói_chung là sản_phẩm tuyệt_vời . Nhân_viên tgdd hỗ_trợ nhiệt_tình ! Luôn ủng_hộ TGDD < 3",5,5/10/2017,{CAMERA#Positive};{FEATURES#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};,"Mình mới mua hôm 30/9/2017 máy sử_dụng rất mượt , chơi game đồ_hoạ cao với chip A10 Cực tốt , không lag hay giật . Camera kép chụp ảnh đẹp và loa kép nghe nhạc rất chất nói_chung là sản_phẩm tuyệt_vời . Nhân_viên tgdd hỗ_trợ nhiệt_tình ! Luôn ủng_hộ TGDD < 3"
2959,2959,Sài 1 thời_gian nên có nhận_xét như sau.sài 4g thì yếu lúc báo k có kết_nối mạng.màn hình thì bật sáng hết cở cảm_giác nó tối.vào zalo bật loa ngoài thì nge tiếng gió rít k nge đc.pin 5000mph mà thấy nó tụt nhanh ( 2 -3 phút 1% ) chrom thì tự khởi_động cho_dù không đụng vào.máy thì đơ ... nói_chung thì máy tệ chưa từng thấy.không nên mua,1,3/8/2020,{SCREEN#Negative};{FEATURES#Negative};{BATTERY#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};,Sài 1 thời_gian nên có nhận_xét như sau.sài 4g thì yếu lúc báo k có kết_nối mạng.màn hình thì bật sáng hết cở cảm_giác nó tối.vào zalo bật loa ngoài thì nge tiếng gió rít k nge đc.pin 5000mph mà thấy nó tụt nhanh ( 2 -3 phút 1% ) chrom thì tự khởi_động cho_dù không đụng vào.máy thì đơ ... nói_chung thì máy tệ chưa từng thấy.không nên mua
2960,2960,"Em mới mua được 3 hôm . Mọi thứ điều tốt , sạc pin 2 tiếng đã đầy xài từ tối , tới chiều ngày hôm sau , mượt_mà , chụp hình đẹp nhưng nó mịn quá_xá luôn . K cần chỉnh áp luôn . Nhưng nó hay bị đơ màn_hình , bấm k chạy . Em không có chơi game gì nặng mấy cả . Hôm_nay tự_dưng bị dính 2 quả tim trên zalo k hiểu nổi luôn . Qtv tư_vấn giúp em ạ",4,20/05/2020,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Neutral};{GENERAL#Positive};{OTHERS};,"Em mới mua được 3 hôm . Mọi thứ điều tốt , sạc pin 2 tiếng đã đầy xài từ tối , tới chiều ngày hôm sau , mượt_mà , chụp hình đẹp nhưng nó mịn quá_xá luôn . K cần chỉnh áp luôn . Nhưng nó hay bị đơ màn_hình , bấm k chạy . Em không có chơi game gì nặng mấy cả . Hôm_nay tự_dưng bị dính 2 quả tim trên zalo k hiểu nổi luôn . Qtv tư_vấn giúp em ạ"
2961,2961,"Cho Ae nào đag phân_vân mình xài Vsmart_Live 4 được 24h có đánh_giá như sau chơi game mượt ( Call_Of_Duty vs Liên_Quân ) , tác_vụ tốt k lag , pin xài liên_tục khoảng 1 ngày , sạc tầm 2 tiếng rưỡi là đầy , camera chụp ở mức khá , màn khá ổn , bắt sóng wifi chưa thật_sự tốt , loa nghe k có âm bass ( âm_thanh hơi nhỏ ) , viền ở dưới hơi dày ( 8/10 đ ) .",4,1 tuần trước,{SCREEN#Positive};{CAMERA#Positive};{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,"Cho Ae nào đag phân_vân mình xài Vsmart_Live 4 được 24h có đánh_giá như sau chơi game mượt ( Call_Of_Duty vs Liên_Quân ) , tác_vụ tốt k lag , pin xài liên_tục khoảng 1 ngày , sạc tầm 2 tiếng rưỡi là đầy , camera chụp ở mức khá , màn khá ổn , bắt sóng wifi chưa thật_sự tốt , loa nghe k có âm bass ( âm_thanh hơi nhỏ ) , viền ở dưới hơi dày ( 8/10 đ ) ."
2962,2962,"máy dùng thì mượt_mà tuy_nhiên rất nhanh nóng . thinh thoảng lại xuất_hiện nhiều lỗi vặt rất khó_chịu . loa nghe không được hay . camara trước rất ảo , lại rỗ , nhìn sợi tóc rất tởm lợn , cam sau 48m nhưng vẫn ko được nét",3,1 tuần trước,{SCREEN#Negative};{CAMERA#Negative};{FEATURES#Negative};{PERFORMANCE#Neutral};{GENERAL#Negative};,"máy dùng thì mượt_mà tuy_nhiên rất nhanh nóng . thinh thoảng lại xuất_hiện nhiều lỗi vặt rất khó_chịu . loa nghe không được hay . camara trước rất ảo , lại rỗ , nhìn sợi tóc rất tởm lợn , cam sau 48m nhưng vẫn ko được nét"
2963,2963,Máy này chỉ Liên_quân thôi camera có cho vui thôi .... màn_hình hơi lỗi ..... mọi người thử độ sáng max xem có bị như mình không ( đó là vào game LQ và Đấu_trường chân_lý ),4,25/03/2020,{SCREEN#Negative};{CAMERA#Negative};{PERFORMANCE#Positive};{OTHERS};,Máy này chỉ Liên_quân thôi camera có cho vui thôi .... màn_hình hơi lỗi ..... mọi người thử độ sáng max xem có bị như mình không ( đó là vào game LQ và Đấu_trường chân_lý )
2964,2964,Chán . Được_cái . Pin trâu . Nhiều lúc mở_màn hình lên không có ứng_dụng bị đơ luôn,2,7/6/2020,{BATTERY#Positive};{PERFORMANCE#Negative};{GENERAL#Positive};,Chán . Được_cái . Pin trâu . Nhiều lúc mở_màn hình lên không có ứng_dụng bị đơ luôn
2965,2965,Sản_phẩm quá tệ . Màn_hình chơi game lướt web gây cảm_giác khó_chịu và dễ đau mắt ảnh_hưởng tới việc sử_dụng điện thoại.Chơi game hay lag mua chưa được 3 ngày.Điện thoại sài quá chán.Mới mua của hãng này lần đầu . Ko bao_giờ muốn mua lần thứ 2 nữa . Có tặng cũng chả cần . Quá tệ .,1,27/07/2020,{SCREEN#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};{SER&ACC#Negative};,Sản_phẩm quá tệ . Màn_hình chơi game lướt web gây cảm_giác khó_chịu và dễ đau mắt ảnh_hưởng tới việc sử_dụng điện thoại.Chơi game hay lag mua chưa được 3 ngày.Điện thoại sài quá chán.Mới mua của hãng này lần đầu . Ko bao_giờ muốn mua lần thứ 2 nữa . Có tặng cũng chả cần . Quá tệ .
2966,2966,Mọi thứ đều ổn .. Nhưng rất bực_mình tại_sao dt mới mua chưa được 1 tháng mà đã bị lỗi bật màn_hình ko lên . Mở nút nguồn ko lên dc . Bật mãi 1p mới lên . rát bực . Đã đổi cái mới nhưng vẫn bị thế,1,7/6/2020,{PERFORMANCE#Negative};{GENERAL#Neutral};,Mọi thứ đều ổn .. Nhưng rất bực_mình tại_sao dt mới mua chưa được 1 tháng mà đã bị lỗi bật màn_hình ko lên . Mở nút nguồn ko lên dc . Bật mãi 1p mới lên . rát bực . Đã đổi cái mới nhưng vẫn bị thế
2967,2967,sạc vooc sao pin lâu vô vậy ạ .. khoảng 10p lên đc 2% ạcos phải đt e bị lỗi k ạ .. pin tụt nhanh mag sạc thì lâu,3,3 tuần trước,{BATTERY#Negative};,sạc vooc sao pin lâu vô vậy ạ .. khoảng 10p lên đc 2% ạcos phải đt e bị lỗi k ạ .. pin tụt nhanh mag sạc thì lâu
2968,2968,"Thất_vọng a 51 . Máy xử_lý thông_tin chậm , gọi điện , mở app , chụp ảnh . Chấm cam thì cao nhưng hình_ảnh thì không cao .",1,21/03/2020,{CAMERA#Neutral};{PERFORMANCE#Negative};{GENERAL#Negative};,"Thất_vọng a 51 . Máy xử_lý thông_tin chậm , gọi điện , mở app , chụp ảnh . Chấm cam thì cao nhưng hình_ảnh thì không cao ."
2969,2969,"Xài quá ok . Mấy ổn_định k nóng pin được , chụp hình tốt , màu_sắc đẹp , đã mua tại TGDD đc 1 thang",5,18/12/2019,{SCREEN#Positive};{CAMERA#Positive};{BATTERY#Positive};{GENERAL#Positive};,"Xài quá ok . Mấy ổn_định k nóng pin được , chụp hình tốt , màu_sắc đẹp , đã mua tại TGDD đc 1 thang"
